country,main_cat,sub_cat1,new_mult
AT,BABY,BETTEN,0.86
AT,BABY,HOCHSTÜHLE & ZUBEHÖR,1.39
AT,BABY,WICKELKOMMODEN & ZUBEHÖR,0.29
AT,BAD,BADREGALE,0.82
AT,BAD,BADSCHRÄNKE,0.85
AT,BAD,BADSET,0.83
AT,BAD,SPIEGEL,1.12
AT,BAD,WASCHTISCHE,0.75
AT,BETTEN,BETTGESTELLE,0.91
AT,BETTEN,BOXSPRINGBETTEN,1.17
AT,BETTEN,ZUBEHÖR,1.12
AT,BOUTIQUE,AUFBEWAHRUNG,0.82
AT,BOUTIQUE,BADACCESSOIRES,0.83
AT,BOUTIQUE,DEKORATION,1.02
AT,BOUTIQUE,GARTENACCESSOIRES,0.42
AT,BOUTIQUE,SAISONARTIKEL WEIHNACHTEN,1.25
AT,BOUTIQUE,WANDEKORATION,0.91
AT,BÜRO,BÜROSCHRÄNKE,1.18
AT,BÜRO,BÜROSTÜHLE,0.73
AT,BÜRO,SCHREIBTISCHE,1.04
AT,BÜRO,SEKRETÄRE,0.81
AT,ESSZIMMERSTÜHLE&BÄNKE,BARHOCKER,0.86
AT,ESSZIMMERSTÜHLE&BÄNKE,BÄNKE,0.97
AT,ESSZIMMERSTÜHLE&BÄNKE,ESSZIMMERSTÜHLE,0.75
AT,ESSZIMMERTISCHE,BAR,0.65
AT,ESSZIMMERTISCHE,BARTISCHE,0.97
AT,ESSZIMMERTISCHE,ESSTISCHE,1.01
AT,FLURMÖBEL,GARDEROBEN,0.85
AT,FLURMÖBEL,SCHUHSCHRÄNKE,0.74
AT,GARTEN,BÄNKE & HOCKER,1.14
AT,GARTEN,GARTEN LOUNGEMÖBEL,1.17
AT,GARTEN,GARTENSTÜHLE,1.27
AT,GARTEN,GARTENTISCHE,2.0
AT,GARTEN,GARTENZUBEHÖR,0.22
AT,HAUSHALT,BACKZUBEHÖR,0.97
AT,HAUSHALT,BARZUBEHÖR,0.59
AT,HAUSHALT,GESCHIRR,1.66
AT,HAUSHALT,GLÄSER,0.54
AT,HAUSHALT,KANNEN & KRÜGE,1.1
AT,HAUSHALT,KÜCHENAUFBEWAHRUNG,1.15
AT,HAUSHALT,KÜCHENHELFER,1.38
AT,HAUSHALT,KÜCHENMESSER,1.81
AT,HAUSHALT,KÜCHENUTENSILIEN,1.51
AT,HAUSHALT,MÜLLEIMER,0.69
AT,HAUSHALT,PFANNEN,1.65
AT,HAUSHALT,TÖPFE,3.92
AT,HEIMTEXTILIEN,BADEMATTEN & BADTEPPICHE,0.9
AT,HEIMTEXTILIEN,BETTDECKEN & KOPFKISSEN,1.01
AT,HEIMTEXTILIEN,BETTLAKEN,1.03
AT,HEIMTEXTILIEN,BETTWÄSCHE,0.91
AT,HEIMTEXTILIEN,DUSCHVORHÄNGE,0.83
AT,HEIMTEXTILIEN,GARDINEN & VORHÄNGE,1.15
AT,HEIMTEXTILIEN,HANDTÜCHER,0.93
AT,HEIMTEXTILIEN,KISSEN,1.04
AT,HEIMTEXTILIEN,TAGESDECKEN & PLAIDS,0.82
AT,HEIMTEXTILIEN,TISCHWÄSCHE,1.21
AT,KINDER,BABY-SPIELZEUGE,1.03
AT,KINDER,BABYMÖBEL,0.89
AT,KINDER,BABYMÖBEL-ZUBEHÖR,0.51
AT,KINDER,BABYTEXTILIEN,0.46
AT,KINDER,BETTEN & ZUBEHÖR,0.24
AT,KINDER,KINDER-SPIELZEUGE,1.57
AT,KINDER,KINDERTEXTILIEN,0.99
AT,KINDER,KINDERZIMMERMÖBEL,1.07
AT,KINDER,REGALE,1.68
AT,KÜCHE,KÜCHENSCHRÄNKE,2.1
AT,KÜCHE,KÜCHENZEILEN,1.18
AT,LEUCHTEN,AUßENLEUCHTEN,0.79
AT,LEUCHTEN,INNENLEUCHTEN,0.78
AT,LEUCHTEN,ZUBEHÖR,0.85
AT,MATRATZEN&LATTENROSTE,LATTENROSTE,1.36
AT,MATRATZEN&LATTENROSTE,MATRATZEN,0.99
AT,MATRATZEN&LATTENROSTE,MATRATZENTOPPER,1.15
AT,POLSTER,BIGSOFAS,1.05
AT,POLSTER,ECKSOFAS,1.14
AT,POLSTER,EINZELSOFAS,0.62
AT,POLSTER,RECAMIEREN,0.68
AT,POLSTER,RELAXLIEGEN,0.79
AT,POLSTER,SCHLAFSOFAS,1.29
AT,POLSTER,SESSEL,0.72
AT,POLSTER,SITZWÜRFEL & POLSTERHOCKER,0.73
AT,POLSTER,WOHNLANDSCHAFTEN,1.05
AT,SCHLAFZIMMERMÖBEL,BETTBÄNKE&BETTTRUHEN,0.61
AT,SCHLAFZIMMERMÖBEL,KLEIDERSCHRÄNKE & ZUBEHÖR,0.92
AT,SCHLAFZIMMERMÖBEL,KOMMODEN,0.87
AT,SCHLAFZIMMERMÖBEL,NACHTKOMMODEN,0.77
