country,main_cat,sub_cat1,old_mult
AT,polster,relaxliegen,1.08
AT,esszimmerstühle&bänke,n/a,1.07
AT,haushalt,mülleimer,1.02
AT,heimtextilien,bettdecken & kopfkissen,1.12
AT,polster,ecksofas,1.08
AT,baby,wickelkommoden & zubehör,1.05
AT,polster,schlafsofas,1.08
AT,schlafzimmermöbel,schlafzimmersets,1.12
AT,teppiche & bodenbeläge,n/a,1.09
AT,esszimmertische,essgruppen,1.1
AT,teppiche & bodenbeläge,läufer,1.09
AT,heimtextilien,badematten & badteppiche,1.12
AT,leuchten,außenleuchten,1.03
AT,schlafzimmermöbel,kommoden,1.12
AT,boutique,badaccessoires,1.03
AT,büro,n/a,1.06
AT,kinder,schränke & zubehör,1.08
AT,polster,wohnlandschaften,1.08
AT,teppiche & bodenbeläge,fellteppiche,1.09
AT,esszimmertische,bartische,1.1
AT,leuchten,zubehör,1.03
AT,haushalt,kannen & krüge,1.02
AT,haushalt,geschirr,1.02
AT,baby,hochstühle & zubehör,1.05
AT,büro,bürostühle,1.06
AT,heimtextilien,tagesdecken & plaids,1.12
AT,wohnen,spiegel,1.09
AT,heimtextilien,duschvorhänge,1.12
AT,esszimmertische,bar,1.1
AT,baby,betten,1.05
AT,flurmöbel,garderoben,1.07
AT,polster,polstergarnituren & sets,1.08
AT,garten,gartentische,1.13
AT,leuchten,innenleuchten,1.03
AT,polster,sessel,1.08
AT,matratzen&lattenroste,matratzen,1.08
AT,betten,zubehör,1.12
AT,bad,badset,1.1
AT,polster,einzelsofas,1.08
AT,betten,bettgestelle,1.12
AT,büro,sekretäre,1.06
AT,baby,komplettprogramme & sets,1.05
AT,wohnen,tv-mediamöbel,1.09
AT,garten,garten loungemöbel,1.13
AT,kinder,sitzgelegenheiten,1.08
AT,boutique,wandekoration,1.03
AT,kinder,kommoden,1.08
AT,wohnen,vitrinen & schränke,1.09
AT,polster,zubehör,1.08
AT,heimtextilien,handtücher,1.12
AT,teppiche & bodenbeläge,fuß- & sauberlaufmatten,1.09
AT,polster,recamieren,1.08
AT,esszimmertische,esstische,1.1
AT,wohnen,regale,1.09
AT,betten,gästebetten,1.12
AT,bad,n/a,1.1
AT,esszimmerstühle&bänke,bänke,1.07
AT,haushalt,küchenaufbewahrung,1.02
AT,heimtextilien,bettwäsche,1.12
AT,teppiche & bodenbeläge,hochflorteppiche & shaggys,1.09
AT,boutique,gartenaccessoires,1.03
AT,teppiche & bodenbeläge,kurzflorteppiche,1.09
AT,wohnen,n/a,1.09
AT,betten,boxspringbetten,1.12
AT,schlafzimmermöbel,kleiderschränke & zubehör,1.12
AT,kinder,regale,1.08
AT,polster,sitzwürfel & polsterhocker,1.08
AT,teppiche & bodenbeläge,kinderteppiche,1.09
AT,heimtextilien,kissen,1.12
AT,esszimmertische,n/a,1.1
AT,polster,bigsofas,1.08
AT,esszimmertische,barset,1.1
AT,bad,spiegel,1.1
AT,garten,gartenzubehör,1.13
AT,haushalt,küchenutensilien,1.02
AT,schlafzimmermöbel,nachtkommoden,1.12
AT,esszimmerstühle&bänke,barhocker,1.07
AT,schlafzimmermöbel,schminktische,1.12
AT,wohnen,kamine,1.09
AT,schlafzimmermöbel,n/a,1.12
AT,matratzen&lattenroste,lattenroste,1.08
AT,garten,gartenliege,1.13
AT,schlafzimmermöbel,bettbänke&betttruhen,1.12
AT,baby,regale,1.05
AT,kinder,n/a,1.08
AT,flurmöbel,schuhschränke,1.07
AT,boutique,aufbewahrung,1.03
AT,büro,büroschränke,1.06
AT,esszimmertische,buffets,1.1
AT,garten,komplettprogramme & sets,1.13
AT,wohnen,kommoden & sideboards,1.09
AT,heimtextilien,tischwäsche,1.12
AT,boutique,n/a,1.03
AT,bad,badregale,1.1
AT,baby,schränke,1.05
AT,matratzen&lattenroste,matratzentopper,1.08
AT,kinder,aufbewahrung,1.08
AT,haushalt,gläser,1.02
AT,garten,bänke & hocker,1.13
AT,büro,büro-komplettsets,1.06
AT,teppiche & bodenbeläge,wollteppiche,1.09
AT,bad,badschränke,1.1
AT,wohnen,tische,1.09
AT,boutique,dekoration,1.03
AT,kinder,betten & zubehör,1.08
AT,boutique,saisonartikel weihnachten,1.03
AT,boutique,duftartikel,1.03
AT,haushalt,barzubehör,1.02
AT,flurmöbel,n/a,1.07
AT,kinder,tische & zubehör,1.08
AT,garten,gartenstühle,1.13
AT,kinder,nachttische,1.08
AT,matratzen&lattenroste,matratzen/lattenrost-sets,1.08
AT,baby,n/a,1.05
AT,heimtextilien,n/a,1.12
AT,esszimmertische,zubehör,1.1
AT,küche,küche,1.09
AT,polster,n/a,1.08
AT,büro,schreibtische,1.06
AT,esszimmerstühle&bänke,esszimmerstühle,1.07
AT,kinder,komplettprogramme & sets,1.08
AT,bad,waschtische,1.1
AT,betten,himmelbetten,1.12
AT,heimtextilien,bettlaken,1.12
AT,heimtextilien,gardinen & vorhänge,1.12
AT,teppiche & bodenbeläge,outdoor-teppiche,1.09
AT,haushalt,küchenhelfer,1.02
BE,teppiche & bodenbeläge,fuß- & sauberlaufmatten,1.15
BE,polster,zubehör,1.06
BE,büro,büro-komplettsets,1.12
BE,kinder,betten & zubehör,1.11
BE,büro,schreibtische,1.12
BE,bad,badschränke,1.1
BE,kinder,tische & zubehör,1.11
BE,bad,waschtische,1.1
BE,boutique,saisonartikel weihnachten,1.19
BE,heimtextilien,bettlaken,1.14
BE,haushalt,barzubehör,1.12
BE,baby,schränke,1.12
BE,teppiche & bodenbeläge,outdoor-teppiche,1.15
BE,schlafzimmermöbel,kleiderschränke & zubehör,1.1
